Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,186,4,Some Random Commen with Id 0
1,0,1,27,3,Some Random Commen with Id 1
2,0,1,45,7,Some Random Commen with Id 2
3,0,1,5,3,Some Random Commen with Id 3
4,0,1,1,0,Some Random Commen with Id 4
5,1,7,134,9,Some Random Commen with Id 5
6,1,7,105,3,Some Random Commen with Id 6
7,1,7,135,4,Some Random Commen with Id 7
8,1,7,34,7,Some Random Commen with Id 8
9,1,7,122,7,Some Random Commen with Id 9
10,2,0,75,1,Some Random Commen with Id 10
11,2,0,40,4,Some Random Commen with Id 11
12,2,0,154,7,Some Random Commen with Id 12
13,2,0,98,0,Some Random Commen with Id 13
14,3,7,25,3,Some Random Commen with Id 14
15,3,7,188,0,Some Random Commen with Id 15
16,3,7,50,8,Some Random Commen with Id 16
17,3,7,144,6,Some Random Commen with Id 17
18,3,7,22,7,Some Random Commen with Id 18
19,4,4,112,6,Some Random Commen with Id 19
20,4,4,166,5,Some Random Commen with Id 20
21,4,4,70,2,Some Random Commen with Id 21
22,4,4,17,9,Some Random Commen with Id 22
23,5,5,72,7,Some Random Commen with Id 23
24,6,3,102,4,Some Random Commen with Id 24
25,6,3,152,9,Some Random Commen with Id 25
26,6,3,16,7,Some Random Commen with Id 26
27,6,3,61,2,Some Random Commen with Id 27
28,6,3,34,8,Some Random Commen with Id 28
29,6,3,188,4,Some Random Commen with Id 29
30,6,3,100,3,Some Random Commen with Id 30
31,7,4,31,2,Some Random Commen with Id 31
32,7,4,94,6,Some Random Commen with Id 32
33,7,4,34,7,Some Random Commen with Id 33
34,7,4,194,3,Some Random Commen with Id 34
35,7,4,17,7,Some Random Commen with Id 35
36,7,4,32,8,Some Random Commen with Id 36
37,7,4,13,0,Some Random Commen with Id 37
38,7,4,38,1,Some Random Commen with Id 38
39,7,4,134,7,Some Random Commen with Id 39
40,9,6,74,8,Some Random Commen with Id 40
41,9,6,101,0,Some Random Commen with Id 41
42,9,6,112,2,Some Random Commen with Id 42
43,9,6,49,3,Some Random Commen with Id 43
44,9,6,157,0,Some Random Commen with Id 44
45,9,6,50,1,Some Random Commen with Id 45
46,9,6,142,5,Some Random Commen with Id 46
47,9,6,167,8,Some Random Commen with Id 47
48,9,6,137,1,Some Random Commen with Id 48
49,10,6,170,7,Some Random Commen with Id 49
